"","X1","X2","X3","X4","X5","X6","X7","X8","X9","year"
"1","","","Athlete","","Mark","ST","Team","Date","Meet",2011
"2","1.","12","Olivia Ekpone","","53.15PR","MD","Northwest","May 28","Maryland 4A State Track & Field Championships",2011
"3","2.","10","Precious Holmes","","53.16","CT","Hillhouse","Jun 06","CIAC State Open Championship 2011",2011
"4","3.","12","Akawkaw Ndipagbor","","53.38","CA","Poly (Long Beach)","Jun 04","CIF State Championship Finals",2011
"5","4.","10","Sydnee Over","","53.62PR","CT","Windsor","Jun 06","CIAC State Open Championship 2011",2011
"6","5.","11","Courtney Okolo","","53.68PR","TX","Team Texas - Great Southwest","Jun 04","Great Southwest T&F Classic",2011
"7","6.","11","Sandrae Fargiharson","","53.83PR","NY","Medgar Evers College Prep","Jun 11","NY State Championships 2011",2011
"8","","12","Vanessa Jones","","53.83","CA","Etiwanda","May 27","CIF-SS Masters Meet",2011
"9","8.","12","Montenea Roye","","53.84PR","MO","Ladue Horton Watkins","May 28","MSHSAA Class 4 State Championships",2011
"10","9.","11","Robbin Reynolds","","53.91","FL","Miami Jackson","May 06","FHSAA 3A State Championships",2011
"11","10.","12","Erika Rucker","","53.96PR","GA","Flowery Branch","May 14","GHSA Girls AAAA State Championships",2011
"12","11.","12","Gabrielle Scott","","53.98PR","CA","Woodbridge","May 27","CIF-SS Masters Meet",2011
"13","12.","11","Alexis Franklin","","54.04cPR","MD","Old Mill Senior","May 21","4A East Regional Championships",2011
"14","13.","12","Elizabeth Kerpon","","54.10PR","TX","Coppell","May 03","UIL Region I-5A Track & Field Championships",2011
"15","14.","12","Felecia Brown","","54.19","GA","Martin Luther King, Jr.","Apr 23","Region 2-AAAAA Championships",2011
"16","15.","12","Chrystal Green","","54.27PR","SC","Dreher","May 14","South Carolina State Meet 2011",2011
"17","","11","Olivia Williams","","54.27PR","NY","St Anthony's","May 07","Saint Anthony's Invitational",2011
"18","17.","11","La'Tipha Cross","","54.29PR","MI","Southfield Arts & Tech","Jun 04","MHSAA Division I L.P. State Finals",2011
"19","18.","11","Kyle Plante","","54.32","NY","Colonie Central","Jun 11","NY State Championships 2011",2011
"20","19.","11","Tiara Carter","","54.39PR","TX","San Antonio Wagner","May 14","U.I.L. Texas 5A State T&F Championships",2011
"21","20.","12","Kierra Hamilton","","54.41PR","TX","DeSoto","Apr 12","District 11-5A",2011
"22","21.","9","Olivia Baker","","54.46","NJ","Columbia","Jun 03","NJSIAA Grp IV Championship",2011
"23","22.","12","Azia Walker","","54.48PR","CA","Poly (Long Beach)","May 27","CIF-SS Masters Meet",2011
"24","23.","12","Claudia Francis","","54.49PR","NY","Benjamin Cardozo","Apr 16","New York Relays",2011
"25","24.","12","Chrishuna Williams","","54.55PR","TX","DeSoto","May 14","U.I.L. Texas 5A State T&F Championships",2011
"26","","12","Kendra White","","54.55PR","MO","McCluer North","May 28","MSHSAA Class 4 State Championships",2011
"27","","10","Chimere Ezumah","","54.55","CA","Serra","Apr 16","Mt. SAC Relays",2011
"28","27.","11","Di-Anjah Claypool","","54.58PR","FL","Durant","Apr 21","FHSAA 3A District 9 Championship",2011
"29","28.","12","Kamaria Brown","","54.59PR","LA","McKinley","May 06","LHSAA 2A State Track & Field Championships",2011
"30","","12","Monica Williams","","54.59PR","VA","Green Run","Apr 23","Peninsula Relays",2011
"31","30.","11","Amber Bryant-Brock","","54.63PR","GA","McEachern","Apr 23","Region 4-AAAAA Championships",2011
"32","31.","10","Ana Holland","","54.68","CO","Regis Jesuit","May 21","Colorado All-Classification State Track Meet",2011
"33","32.","12","Bria Goodson","","54.71PR","FL","Orange Park","Mar 19","Bob Hayes Invitational",2011
"34","33.","11","Kaitlyn Williams","","54.75PR","TX","Mansfield Timberview","May 03","UIL Region I-5A Track & Field Championships",2011
"35","34.","12","Taylor Ellis-Watson","","54.76PR","PA","Springside Chestnut Hill Academy","May 18","PA Independent School (PAISAA) 2011",2011
"36","35.","12","Kiara Porter","","54.77PR","VA","Tabb","Jun 04","VHSL Group AA State Championships",2011
"37","","12","Paige Stratioti","","54.77PR","MN","Duluth Central (Closed 2011)","Jun 11","MSHSL State Meet",2011
"38","37.","12","Xauddina Whittington","","54.78","MD","Catonsville","May 28","Maryland 3A State Track & Field Championships",2011
"39","38.","-","Angelicia Whaley","","54.81PR","GA","Newnan","Apr 23","Region 2-AAAAA Championships",2011
"40","39.","9","Kendall Ellis","","54.83","FL","St Thomas Aquinas","May 07","FHSAA 4A State Championships",2011
"41","","10","Nia Dorner","","54.83","CA","Rosemont","Apr 16","Mt. SAC Relays",2011
"42","","9","Marcquita Stalbert","","54.83","LA","McDonogh 35","May 06","LHSAA 2A State Track & Field Championships",2011
"43","42.","10","Demi Fischer","","54.84","WY","Campbell County","May 06","Camel Qualifier",2011
"44","","12","Dynasty McGee","","54.84PR","MI","Ypsilanti","Jun 04","MHSAA Division I L.P. State Finals",2011
"45","44.","12","Ashle Caldwell","","54.85PR","TX","Fort Bend Dulles","May 14","U.I.L. Texas 5A State T&F Championships",2011
"46","","10","Shamier Little","","54.85","IL","Chicago (Lindblom)","May 21","IHSA Girls AA State Finals 2011",2011
"47","","12","Raena Rhone","","54.85","IL","Whitney Young","May 07","*CPS Varsity Championships",2011
"48","47.","11","Maya Long","","54.94c","MI","Ann Arbor Huron","May 20","MHSAA Regional",2011
"49","48.","11","Ariah Graham","","55.01PR","NC","Wakefield","May 14","NCHSAA 4A State Track & Field Championships",2011
"50","49.","12","Alicia Evans","","55.02PR","PA","Quakertown Comm Senior","May 28","PIAA State Track & Field Championships",2011
"51","50.","11","Rebecca Robinson","","55.03PR","MA","Arlington","May 28","MIAA D2 Championship",2011
"52","51.","12","Tyneisha McCoy","","55.09PR","TX","Houston Lamar","May 14","U.I.L. Texas 5A State T&F Championships",2011
"53","52.","10","Kendall Baisden","","55.12","MI","Detroit Country Day","Jun 04","MHSAA Div.2 State Meet",2011
"54","53.","12","Nefertari Hall","","55.15","TX","Klein Collins","Apr 01","Shirley Crowe Invitational",2011
"55","54.","12","Brianna Tate","","55.16PR","NV","McQueen","May 20","Nevada State Championships",2011
"56","55.","12","Bridget Sweeney","","55.19","MN","Hopkins","Jun 11","MSHSL State Meet",2011
"57","56.","10","Adriana Allen","","55.20","FL","Dr. Michael M. Krop","Mar 19","Bob Hayes Invitational",2011
"58","57.","12","Lindsey Seymour","","55.23PR","NY","Elmira","Jun 11","NY State Championships 2011",2011
"59","58.","12","Kala Funderburk","","55.24PR","FL","Lakewood","Apr 28","FHSAA 3A Region 3 Championship",2011
"60","","10","Taryn Phipps","","55.24PR","CO","Arapahoe","May 07","Cherry Creek/Grandview Invitational 2011",2011
"61","60.","12","Asia Thomas","","55.26","MO","Central (Cape Girardeau)","May 28","MSHSAA Class 4 State Championships",2011
"62","","12","Shannon Wright","","55.26PR","FL","Coral Reef Senior","May 07","FHSAA 4A State Championships",2011
"63","","12","Michelle Davis","","55.26","PA","West Philadelphia Catholic","May 28","PIAA State Track & Field Championships",2011
"64","63.","11","Montayla Holder","","55.27PR","IN","Lawrence Central","Jun 04","IHSAA State Finals",2011
"65","64.","12","Reyna Anderson","","55.30PR","LA","Baton Rouge","May 06","LHSAA 2A State Track & Field Championships",2011
"66","","12","T'Sheila Mungo","","55.30PR","NC","Independence","May 14","NCHSAA 4A State Track & Field Championships",2011
"67","66.","12","Morgan Thompson","","55.31PR","CA","Newbury Park","Jun 04","CIF State Championship Finals",2011
"68","67.","10","Danni Alakija","","55.32","CA","Oaks Christian","Apr 29","Ventura County Championships",2011
"69","68.","11","Rachel Scruggs","","55.34PR","TX","South Grand Prairie","May 03","UIL Region I-5A Track & Field Championships",2011
"70","69.","11","Kenya Woodall","","55.35","PA","Coatesville","May 28","PIAA State Track & Field Championships",2011
"71","70.","12","Diamond Every","","55.38PR","LA","Karr, Edna","May 06","LHSAA 2A State Track & Field Championships",2011
"72","71.","12","Shadaey Campbell","","55.39PR","FL","Olympia","Apr 27","FHSAA 4A Region 1 Championship",2011
"73","","12","Ashley Collins","","55.39PR","TX","Rosenberg  Lamar","May 14","U.I.L. Texas 3A, 4A State T&F Championships 2011",2011
"74","73.","12","Lauren Waterbury","","55.43PR","MO","Mary Institute-Country Day School","May 28","MSHSAA Class 3 State Championships",2011
"75","74.","10","Lauren Baxter","","55.45","UT","Timpview","May 06","2011 Byu Invite",2011
"76","75.","-","Asha Stegall","","55.47PR","GA","Warner Robins","May 14","GHSA Girls AAAA State Championships",2011
"77","76.","10","Felecia Majors","","55.48","VA","South County","May 27","VHSL Northern Region Championships",2011
"78","77.","11","Jaycee Parker","","55.52","TX","Denison","May 14","U.I.L. Texas 3A, 4A State T&F Championships 2011",2011
"79","","10","Payton Baker","","55.52","TX","Gunter","May 03","UIL Region II-2A Track & Field Championships",2011
"80","","12","Shelby Houlihan","","55.52PR","IA","Sioux City East","May 19","Iowa State 4A Track and Field Championship 2011",2011
"81","80.","11","Aalayah Faulcon","","55.53PR","NC","Southern Durham","Jun 18","New Balance Outdoor Nationals Sprints",2011
"82","81.","12","Erika Veidis","","55.56","NJ","Sparta","Jun 04","NJSIAA Group Championships 2,3 & NP B",2011
"83","82.","11","Krista Kuss","","55.57PR","PA","Baldwin","May 28","PIAA State Track & Field Championships",2011
"84","83.","11","Abby O'Connell","","55.59PR","PA","North Hills","May 28","PIAA State Track & Field Championships",2011
"85","","12","Kaisa Rosenberg","","55.59PR","UT","Springville","Apr 02","UVU",2011
"86","85.","12","Kadeshia Rose","","55.63PR","CO","Mesa Ridge","May 21","Colorado All-Classification State Track Meet",2011
"87","86.","11","Jordan Matthews","","55.64","PA","Abington","May 28","PIAA State Track & Field Championships",2011
"88","","11","Clara Nichols","","55.64","NE","Millard South","May 04","Omaha Metro Conference Meet",2011
"89","","12","Nyanka Joseph-Moise","","55.64PR","NY","Medgar Evers College Prep","Jun 05","PSAL City Championship",2011
"90","89.","-","Amber Perry","","55.65PR","TX","Goliad","May 14","U.I.L. Texas 3A, 4A State T&F Championships 2011",2011
"91","90.","10","Alexis Hernandez","","55.66","CA","Mt Carmel","May 28","San Diego Section CIF Masters",2011
"92","91.","12","Crystal Peterson","","55.68PR","VA","Phoebus","May 07","Suffolk Invitational",2011
"93","92.","11","Maggie Bell","","55.69PR","IN","Indianapolis Bishop Chatard","Jun 04","IHSAA State Finals",2011
"94","","12","Samantha Berggren","","55.69PR","CO","Middle Park","May 06","St. Vrain Invitational",2011
"95","","11","Kyri Tabor","","55.69","FL","Hallandale","Apr 30","FHSAA 2A State Championships",2011
"96","95.","11","Sonikqua Walters","","55.70","GA","Peachtree Ridge","Mar 26","Gwinnett County Track & Field Championships",2011
"97","96.","12","Maikea Davis","","55.71PR","GA","Monroe Comprehensive","May 14","GHSA Girls AAA State Championships",2011
"98","97.","11","Mercedes Young","","55.72PR","IL","Hillcrest","May 21","IHSA Girls AA State Finals 2011",2011
"99","","12","Qualitra Brown","","55.72PR","VA","King's Fork","May 04","Southeastern District Girls Regular Season Meet #8",2011
"100","","11","Kaitlyn Wilcox","","55.72PR","UT","Bear River","May 20","Utah State Championships 2011",2011
"101","100.","12","Cierra Jordan","","55.73PR","CA","Edison","May 20","Sac-Joaquin D1 Finals",2011
"102","View Next Page 
                    (Total stats: 36,646)","View Next Page 
                    (Total stats: 36,646)","View Next Page 
                    (Total stats: 36,646)","View Next Page 
                    (Total stats: 36,646)","View Next Page 
                    (Total stats: 36,646)","View Next Page 
                    (Total stats: 36,646)","View Next Page 
                    (Total stats: 36,646)","View Next Page 
                    (Total stats: 36,646)",NA,2011
"103","","","Athlete","","Mark","ST","Team","Date","Meet",2011
"104","101.","11","Kaela Edwards","","55.73","CO","Littleton","Apr 30","Liberty Bell Invitational 2011",2011
"105","","11","Amanda Lark","","55.73PR","CO","Ponderosa","May 21","Colorado All-Classification State Track Meet",2011
"106","103.","11","Asheley Bamberg","","55.74PR","CA","Andrew Hill","Apr 02","St Francis Invitational",2011
"107","","12","Kimberly Thomas","","55.74PR","GA","Eastside","May 14","GHSA Girls AAA State Championships",2011
"108","","10","Lindsay Burns","","55.74PR","WA","West Valley (Yakima)","May 20","GSL/Big 9 Regionals",2011
"109","106.","12","Aneesha Scott","","55.81PR","MD","Long Reach","May 09","Howard County Championship",2011
"110","","10","Whitney Adams","","55.81","MO","Francis Howell","May 28","MSHSAA Class 4 State Championships",2011
"111","108.","11","Ebanga Arrey","","55.83PR","TX","Fort Bend Elkins","Apr 01","Shirley Crowe Invitational",2011
"112","","10","Brenna Porter","","55.83PR","UT","Sky View","May 11","Region V Championship",2011
"113","110.","12","Destiny Lundy","","55.85PR","AZ","Hamilton","May 14","AIA Division I Track & Field Championships - Day 2",2011
"114","","12","Nia Fluker","","55.85","TX","Christway","Mar 12","Lancaster Meet of Champions",2011
